Test Feature A,Test Feature B,R-Value,P-Value
GWG,A,[0.66010989],[1.92069166e-35]
GWG,A1,[0.64750017],[9.61814068e-34]
GWG,A2,[0.61096931],[3.02795366e-29]
GWG,PTS,[0.72122688],[5.32758406e-45]
GWG,PIM,[0.25088523],[2.83852092e-05]
GWG,Shifts,[0.53259957],[2.42872073e-21]
GWG,TOI,[0.55818299],[1.0794874e-23]
GWG,TOI/GP,[0.5389424],[6.61955692e-22]
GWG,iBLK,[0.51136939],[1.55212155e-19]
GWG,OTG,[0.5675002],[1.33361704e-24]
GWG,GWG,[1.],[nan]
GWG,G.Dflct,[0.2368186],[8.00693769e-05]
GWG,G.Slap,[0.55058027],[5.66755442e-23]
GWG,G.Snap,[0.4093684],[2.03537134e-12]
GWG,G.Tip,[0.24180362],[5.58359571e-05]
GWG,G.Wrst,[0.7448567],[2.0434824e-49]
GWG,Post,[0.5157184],[6.7810486e-20]
GWG,Over,[0.54325883],[2.69005824e-22]
GWG,Wide,[0.6564996],[6.00378318e-35]
GWG,S.Bkhd,[0.43043703],[1.06465029e-13]
GWG,S.Dflct,[0.32228416],[5.41661299e-08]
GWG,S.Slap,[0.55568278],[1.8710773e-23]
GWG,S.Snap,[0.45001791],[5.67153683e-15]
GWG,S.Tip,[0.29754381],[5.77142204e-07]
GWG,S.Wrst,[0.65469697],[1.05444661e-34]
G.Dflct,Wt,[-0.1164682],[0.05503987]
G.Dflct,GP,[0.18356133],[0.00237049]
G.Dflct,G,[0.20467646],[0.0006832]
G.Dflct,A,[0.16857816],[0.00531135]
G.Dflct,A1,[0.16199705],[0.00742404]
G.Dflct,A2,[0.1592828],[0.00849452]
G.Dflct,PTS,[0.18581892],[0.00208784]
G.Dflct,PIM,[-0.00196468],[0.97427004]
G.Dflct,Shifts,[0.20262509],[0.00077531]
G.Dflct,TOI,[0.22180866],[0.00022644]
G.Dflct,TOI/GP,[0.21940841],[0.00026571]
G.Dflct,iBLK,[0.25402849],[2.23242777e-05]
G.Dflct,OTG,[0.08799783],[0.1477742]
G.Dflct,GWG,[0.2368186],[8.00693769e-05]
G.Dflct,G.Dflct,[1.],[0.]
G.Dflct,G.Slap,[0.16128781],[0.00769147]
G.Dflct,G.Snap,[-0.02319612],[0.70331377]
G.Dflct,G.Tip,[-0.00159067],[0.97916693]
G.Dflct,G.Wrst,[0.15483673],[0.01054643]
G.Dflct,Post,[0.23059006],[0.00012428]
G.Dflct,Over,[0.18681708],[0.00197296]
G.Dflct,Wide,[0.18061866],[0.00279116]
G.Dflct,S.Bkhd,[0.14453314],[0.01706447]
G.Dflct,S.Dflct,[0.59629626],[1.34248391e-27]
G.Dflct,S.Slap,[0.13019722],[0.03182798]
G.Dflct,S.Snap,[0.0864202],[0.15520352]
G.Dflct,S.Tip,[0.00730919],[0.90448855]
G.Dflct,S.Wrst,[0.20167708],[0.00082163]
G.Slap,Wt,[0.0165373],[0.78600369]
G.Slap,GP,[0.45700454],[1.90162113e-15]
G.Slap,G,[0.75911046],[2.52775486e-52]
G.Slap,A,[0.61104846],[2.9650564e-29]
G.Slap,A1,[0.59897397],[6.81869998e-28]
G.Slap,A2,[0.56690074],[1.52872894e-24]
G.Slap,PTS,[0.67873267],[4.14456057e-38]
G.Slap,PIM,[0.22936404],[0.00013533]
G.Slap,Shifts,[0.50065496],[1.13573613e-18]
G.Slap,TOI,[0.539887],[5.44163654e-22]
G.Slap,TOI/GP,[0.52838483],[5.67526288e-21]
G.Slap,iBLK,[0.43014077],[1.11135314e-13]
G.Slap,OTG,[0.20997241],[0.00049012]
G.Slap,GWG,[0.55058027],[5.66755442e-23]
G.Slap,G.Dflct,[0.16128781],[0.00769147]
G.Slap,G.Slap,[1.],[nan]
G.Slap,G.Snap,[0.37632561],[1.39722172e-10]
G.Slap,G.Tip,[0.07468209],[0.21954385]
G.Slap,G.Wrst,[0.41216038],[1.39294095e-12]
G.Slap,Post,[0.46772394],[3.38498234e-16]
G.Slap,Over,[0.5156513],[6.8688623e-20]
G.Slap,Wide,[0.59534216],[1.70636979e-27]
G.Slap,S.Bkhd,[0.44764508],[8.17376065e-15]
G.Slap,S.Dflct,[0.30608585],[2.61281676e-07]
G.Slap,S.Slap,[0.73435571],[2.14448669e-47]
G.Slap,S.Snap,[0.40313358],[4.68786999e-12]
G.Slap,S.Tip,[0.22999448],[0.00012954]
G.Slap,S.Wrst,[0.47373646],[1.25161852e-16]
G.Snap,Wt,[0.1555987],[0.01016634]
G.Snap,GP,[0.33878493],[9.88501736e-09]
G.Snap,G,[0.6804921],[2.26657711e-38]
G.Snap,A,[0.44620894],[1.01833039e-14]
G.Snap,A1,[0.44254173],[1.776775e-14]
G.Snap,A2,[0.41047822],[1.75127142e-12]
G.Snap,PTS,[0.53103873],[3.33031944e-21]
G.Snap,PIM,[0.22355619],[0.00020133]
G.Snap,Shifts,[0.37841104],[1.08471528e-10]
G.Snap,TOI,[0.40722642],[2.71627781e-12]
G.Snap,TOI/GP,[0.40438706],[3.96949163e-12]
G.Snap,iBLK,[0.26932237],[6.63240537e-06]
G.Snap,OTG,[0.34137752],[7.4970977e-09]
G.Snap,GWG,[0.4093684],[2.03537134e-12]
G.Snap,G.Dflct,[-0.02319612],[0.70331377]
G.Snap,G.Slap,[0.37632561],[1.39722172e-10]
G.Snap,G.Snap,[1.],[nan]
G.Snap,G.Tip,[0.19451816],[0.00126291]
G.Snap,G.Wrst,[0.4704848],[2.14884198e-16]
G.Snap,Post,[0.41146449],[1.5315439e-12]
G.Snap,Over,[0.40165962],[5.69556907e-12]
G.Snap,Wide,[0.54319901],[2.72408202e-22]
G.Snap,S.Bkhd,[0.39413042],[1.51715937e-11]
G.Snap,S.Dflct,[0.1802174],[0.00285349]
G.Snap,S.Slap,[0.36462372],[5.59598828e-10]
G.Snap,S.Snap,[0.65440149],[1.15600469e-34]
G.Snap,S.Tip,[0.23858635],[7.0523166e-05]
G.Snap,S.Wrst,[0.47735957],[6.8071866e-17]
G.Tip,Wt,[-0.0108812],[0.85822293]
G.Tip,GP,[0.29303499],[8.6802219e-07]
G.Tip,G,[0.29037768],[1.10047121e-06]
G.Tip,A,[0.33372318],[1.68368588e-08]
G.Tip,A1,[0.32777543],[3.10978345e-08]
G.Tip,A2,[0.30843379],[2.09201745e-07]
G.Tip,PTS,[0.33623532],[1.29418691e-08]
