Test Feature A,Test Feature B,R-Value,P-Value
iFOW,GP,[0.68450485],[9.26374259e-33]
iFOW,G,[0.67798645],[6.05723747e-32]
iFOW,A,[0.75896297],[7.2096091e-44]
iFOW,A1,[0.7256147],[1.93350368e-38]
iFOW,A2,[0.72448386],[2.85973592e-38]
iFOW,PTS,[0.76106041],[3.06899845e-44]
iFOW,+/-,[0.08254183],[0.21538882]
iFOW,Shifts,[0.79492469],[8.20674078e-51]
iFOW,TOI,[0.80984826],[4.0724696e-54]
iFOW,TOIX,[0.81011379],[3.53536652e-54]
iFOW,TOI/GP,[0.78173603],[4.10830857e-48]
iFOW,TOI%,[0.75276198],[8.56311203e-43]
iFOW,iBLK,[0.59390687],[4.75916417e-23]
iFOW,iFOW,[1.],[0.]
iFOW,iFOL,[0.97073974],[8.41065523e-142]
iFOW,FO%,[0.36794429],[1.09265527e-08]
iFOW,OTG,[0.36404423],[1.59953995e-08]
iFOW,GWG,[0.53673299],[2.38719996e-18]
iFOW,G.Bkhd,[0.45552989],[4.91090539e-13]
iFOW,G.Snap,[0.5072646],[2.95940776e-16]
iFOW,G.Tip,[0.45982176],[2.78108999e-13]
iFOW,G.Wrap,[0.25895],[7.88744396e-05]
iFOW,G.Wrst,[0.62897459],[1.98787854e-26]
iFOW,Post,[0.55296554],[1.3626871e-19]
